,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_l_price
18,141205,189000.0,2.0,1.0,1200,9850,1.0,0,0,4,7,1200,0.0,1921,141205,98002,47.3089,-122.21,1060,5095,157.5
19,150424,230000.0,3.0,1.0,1250,9774,1.0,0,0,4,7,1250,0.0,1969,150424,98003,47.3343,-122.306,1280,8850,184.0
20,140514,385000.0,4.0,1.75,1620,4980,1.0,0,0,4,7,860,760.0,1947,140514,98133,47.7025,-122.34100000000001,1400,4980,237.65
21,140826,2000000.0,3.0,2.75,3050,44867,1.0,0,4,3,9,2330,720.0,1968,140826,98040,47.5316,-122.23299999999999,4110,20336,655.74
22,140703,285000.0,5.0,2.5,2270,6300,2.0,0,0,3,8,2270,0.0,1995,140703,98092,47.3266,-122.169,2240,7005,125.55
23,140516,252700.0,2.0,1.5,1070,9643,1.0,0,0,3,7,1070,0.0,1985,140516,98030,47.3533,-122.166,1220,8386,236.17
24,141120,329000.0,3.0,2.25,2450,6500,2.0,0,0,4,8,2450,0.0,1985,141120,98030,47.3739,-122.17200000000001,2200,6865,134.29
25,141103,233000.0,3.0,2.0,1710,4697,1.5,0,0,5,6,1710,0.0,1941,141103,98002,47.3048,-122.21799999999999,1030,4705,136.26
26,140626,937000.0,3.0,1.75,2450,2691,2.0,0,0,3,8,1750,700.0,1915,140626,98119,47.6386,-122.36,1760,3573,382.45
27,141201,667000.0,3.0,1.0,1400,1581,1.5,0,0,5,8,1400,0.0,1909,141201,98112,47.6221,-122.314,1860,3861,476.43
28,140624,438000.0,3.0,1.75,1520,6380,1.0,0,0,3,7,790,730.0,1948,140624,98115,47.695,-122.304,1520,6235,288.16
29,150302,719000.0,4.0,2.5,2570,7173,2.0,0,0,3,8,2570,0.0,2005,150302,98052,47.7073,-122.11,2630,6026,279.77
30,141110,580500.0,3.0,2.5,2320,3980,2.0,0,0,3,8,2320,0.0,2003,141110,98027,47.5391,-122.07,2580,3980,250.22
31,141201,280000.0,2.0,1.5,1190,1265,3.0,0,0,3,7,1190,0.0,2005,141201,98133,47.7274,-122.35700000000001,1390,1756,235.29
32,140624,687500.0,4.0,1.75,2330,5000,1.5,0,0,4,7,1510,820.0,1929,140624,98117,47.6823,-122.368,1460,5000,295.06
33,141110,535000.0,3.0,1.0,1090,3000,1.5,0,0,4,8,1090,0.0,1929,141110,98117,47.6889,-122.375,1570,5080,490.83
34,141203,322500.0,4.0,2.75,2060,6659,1.0,0,0,3,7,1280,780.0,1981,141203,98058,47.4276,-122.15700000000001,2020,8720,156.55
35,140613,696000.0,3.0,2.5,2300,3060,1.5,0,0,3,8,1510,790.0,1930,140613,98115,47.6827,-122.31,1590,3264,302.61
36,140528,550000.0,4.0,1.0,1660,34848,1.0,0,0,1,5,930,730.0,1933,140528,98052,47.6621,-122.132,2160,11467,331.33
37,141230,640000.0,4.0,2.0,2360,6000,2.0,0,0,4,8,2360,0.0,1904,141230,98107,47.6702,-122.36200000000001,1730,4700,271.19
38,150213,240000.0,4.0,1.0,1220,8075,1.0,0,0,2,7,890,330.0,1969,150213,98001,47.3341,-122.28200000000001,1290,7800,196.72
39,140620,605000.0,4.0,2.5,2620,7553,2.0,0,0,3,8,2620,0.0,1996,140620,98056,47.5301,-122.18,2620,11884,230.92
40,140715,625000.0,4.0,2.5,2570,5520,2.0,0,0,3,9,2570,0.0,2000,140715,98074,47.6145,-122.027,2470,5669,243.19
41,140811,775000.0,4.0,2.25,4220,24186,1.0,0,0,3,8,2600,1620.0,1984,140811,98166,47.445,-122.34700000000001,2410,30617,183.65
42,140707,861990.0,5.0,2.75,3595,5639,2.0,0,0,3,9,3595,0.0,2014,140707,98053,47.6848,-122.016,3625,5639,239.77
43,141028,685000.0,3.0,1.0,1570,2280,2.0,0,0,3,7,1570,0.0,1922,141028,98119,47.6413,-122.36399999999999,1580,2640,436.31
44,140729,309000.0,3.0,1.0,1280,9656,1.0,0,0,4,6,920,360.0,1959,140729,98058,47.4485,-122.175,1340,8808,241.41
45,140718,488000.0,3.0,2.5,3160,13603,2.0,0,0,3,8,3160,0.0,2003,140718,98019,47.7443,-121.977,3050,9232,154.43
46,150325,210490.0,3.0,1.0,990,8528,1.0,0,0,3,6,990,0.0,1966,150325,98023,47.3066,-122.37100000000001,1228,8840,212.62
47,140716,785000.0,4.0,2.5,2290,13416,2.0,0,0,4,9,2290,0.0,1981,140716,98007,47.6194,-122.15100000000001,2680,13685,342.79
48,150428,450000.0,3.0,1.75,1250,5963,1.0,0,0,4,7,1250,0.0,1953,150428,98115,47.6796,-122.301,970,5100,360.0
49,150311,1350000.0,3.0,2.5,2753,65005,1.0,1,2,5,9,2165,588.0,1953,150311,98070,47.4041,-122.45100000000001,2680,72513,490.37
50,140916,228000.0,3.0,1.0,1190,9199,1.0,0,0,3,7,1190,0.0,1955,140916,98148,47.4258,-122.322,1190,9364,191.6
51,150217,345000.0,5.0,2.5,3150,9134,1.0,0,0,4,8,1640,1510.0,1966,150217,98056,47.4934,-122.189,1990,9133,109.52
52,141231,600000.0,3.0,1.75,1410,4080,1.0,0,0,4,7,1000,410.0,1950,141231,98117,47.6808,-122.384,1410,4080,425.53
53,150205,585000.0,2.0,1.75,1980,8550,1.0,0,0,3,7,990,990.0,1981,150205,98117,47.6989,-122.369,1480,6738,295.45
54,150303,920000.0,5.0,2.25,2730,6000,1.5,0,0,3,8,2130,600.0,1927,150303,98105,47.6571,-122.281,2730,6000,337.0
55,140512,885000.0,4.0,2.5,2830,5000,2.0,0,0,3,9,2830,0.0,1995,140512,98105,47.6597,-122.29,1950,5000,312.72
56,140819,292500.0,4.0,2.5,2250,4495,2.0,0,0,3,7,2250,0.0,2008,140819,98042,47.3663,-122.11399999999999,2250,4500,130.0
57,150407,301000.0,3.0,2.5,2420,4750,2.0,0,0,3,8,2420,0.0,2003,150407,98042,47.3663,-122.12200000000001,2690,4750,124.38
58,140827,951000.0,5.0,3.25,3250,14342,2.0,0,4,4,8,3250,0.0,1968,140827,98008,47.588,-122.116,2960,11044,292.62
59,150223,430000.0,4.0,3.0,1850,9976,2.0,0,0,3,8,1850,0.0,1991,150223,98059,47.5059,-122.149,2270,8542,232.43
60,141210,650000.0,3.0,2.25,2150,21235,1.0,0,3,4,8,1590,560.0,1959,141210,98166,47.4336,-122.339,2570,18900,302.33
61,140828,289000.0,3.0,1.75,1260,8400,1.0,0,0,3,7,1260,0.0,1954,140828,98148,47.4366,-122.335,1290,8750,229.37
62,141021,505000.0,3.0,1.75,2519,8690,2.0,0,0,5,8,2519,0.0,1973,141021,98166,47.4428,-122.344,2500,9500,200.48
63,141207,549000.0,3.0,1.75,1540,1044,3.0,0,0,3,8,1540,0.0,2014,141207,98115,47.6765,-122.32,1580,3090,356.49
64,140603,425000.0,3.0,2.25,1660,6000,1.0,0,0,3,7,1110,550.0,1979,140603,98122,47.6113,-122.29700000000001,1440,4080,256.02
65,141120,317625.0,3.0,2.75,2770,3809,1.5,0,0,5,7,1770,1000.0,1925,141120,98144,47.5747,-122.304,1440,4000,114.67
66,140909,975000.0,4.0,2.5,2720,11049,2.0,0,0,3,10,2720,0.0,1989,140909,98004,47.5815,-122.19200000000001,2750,11049,358.46
67,141009,287000.0,4.0,2.5,2240,4648,2.0,0,0,3,7,2240,0.0,2005,141009,98001,47.3378,-122.257,2221,4557,128.12
68,140825,204000.0,3.0,1.0,1000,12070,1.0,0,0,4,7,1000,0.0,1968,140825,98042,47.3621,-122.11,1010,12635,204.0
69,140612,1330000.0,5.0,2.25,3200,20158,1.0,0,0,3,8,1600,1600.0,1965,140612,98004,47.6303,-122.215,3390,20158,415.62
70,140912,1040000.0,5.0,3.25,4770,50094,1.0,0,0,4,11,3070,1700.0,1973,140912,98005,47.6525,-122.16,3530,38917,218.03
71,150105,325000.0,3.0,2.0,1260,5612,1.0,0,0,4,7,1260,0.0,1972,150105,98034,47.7362,-122.179,1640,4745,257.94
72,140610,571000.0,4.0,2.0,2750,7807,1.5,0,0,5,7,2250,500.0,1916,140610,98125,47.7168,-122.287,1510,7807,207.64
73,140710,360000.0,4.0,2.5,2380,5000,2.0,0,0,3,8,2380,0.0,2005,140710,98038,47.3608,-122.036,2420,5000,151.26
74,150316,349000.0,3.0,1.75,1790,50529,1.0,0,0,5,7,1090,700.0,1965,150316,98042,47.3511,-122.073,1940,50529,194.97
75,141105,832500.0,4.0,4.0,3430,35102,2.0,0,0,4,10,2390,1040.0,1986,141105,98075,47.5822,-121.98700000000001,3240,35020,242.71
76,141013,380000.0,4.0,1.75,1760,7300,1.0,0,0,3,7,880,880.0,1956,141013,98008,47.6034,-122.125,1680,7500,215.91
77,150420,480000.0,3.0,1.0,1040,5060,1.0,0,0,3,7,1040,0.0,1941,150420,98116,47.5636,-122.39399999999999,890,5060,461.54
78,140609,410000.0,3.0,1.0,1410,5060,1.0,0,0,4,7,910,500.0,1956,140609,98133,47.7073,-122.34,1130,5693,290.78
79,150323,720000.0,4.0,2.5,3450,39683,2.0,0,0,3,10,3450,0.0,2002,150323,98010,47.342,-122.025,3350,39750,208.7
80,141202,390000.0,3.0,2.5,2350,5100,2.0,0,0,3,8,2350,0.0,2003,141202,98038,47.3512,-122.008,2350,5363,165.96
81,141222,360000.0,4.0,2.5,1900,5889,2.0,0,0,3,7,1900,0.0,1992,141222,98038,47.349,-122.031,1870,6405,189.47
82,141028,355000.0,2.0,1.0,2020,6720,1.0,0,0,3,7,1010,1010.0,1948,141028,98118,47.5474,-122.291,1720,6720,175.74
83,150128,356000.0,3.0,1.5,1680,8712,1.0,0,0,3,8,1680,0.0,1964,150128,98059,47.4811,-122.149,1850,8797,211.9
84,140602,315000.0,3.0,1.0,960,6634,1.0,0,0,3,6,960,0.0,1952,140602,98125,47.7264,-122.31,1570,7203,328.12
85,141114,940000.0,3.0,1.5,2140,3600,2.0,0,0,3,9,1900,240.0,1925,141114,98119,47.6337,-122.365,2020,4800,439.25
86,141103,305000.0,5.0,2.25,2660,8400,1.5,0,0,5,7,2660,0.0,1961,141103,98092,47.2909,-122.189,1590,8165,114.66
87,140618,461000.0,3.0,3.25,2770,6278,2.0,0,0,3,9,1980,790.0,2006,140618,98056,47.5228,-122.199,1900,7349,166.43
88,140519,215000.0,2.0,2.25,1610,2040,2.0,0,0,4,7,1610,0.0,1979,140519,98056,47.518,-122.194,1950,2025,133.54
89,140904,335000.0,2.0,1.75,1030,1066,2.0,0,0,3,7,765,265.0,2006,140904,98136,47.5394,-122.387,1030,1106,325.24
90,140522,243500.0,4.0,2.5,1980,7403,2.0,0,0,3,7,1980,0.0,1988,140522,98023,47.2897,-122.37200000000001,1980,7510,122.98
91,150311,1100000.0,5.0,2.75,3520,6353,2.0,0,0,4,10,3520,0.0,2001,150311,98199,47.6506,-122.391,2520,6250,312.5
92,150226,153000.0,3.0,1.0,1200,10500,1.0,0,0,3,7,1200,0.0,1962,150226,98023,47.321999999999996,-122.351,1350,10500,127.5
93,140725,430000.0,3.0,1.5,1580,5000,1.0,0,0,3,8,1290,290.0,1939,140725,98117,47.687,-122.38600000000001,1570,4500,272.15
94,141223,700000.0,3.0,1.5,1580,5000,1.0,0,0,3,8,1290,290.0,1939,141223,98117,47.687,-122.38600000000001,1570,4500,443.04
95,140908,905000.0,4.0,2.5,3300,10250,1.0,0,0,3,7,2390,910.0,1946,140908,98040,47.5873,-122.249,1950,6045,274.24
96,150330,247500.0,3.0,1.75,1960,15681,1.0,0,0,3,7,1960,0.0,1967,150330,98032,47.3576,-122.277,1750,15616,126.28
97,140912,199000.0,4.0,1.5,1160,6400,1.0,0,0,4,7,1160,0.0,1975,140912,98023,47.3036,-122.37799999999999,1160,6400,171.55
98,140711,314000.0,3.0,1.75,1810,41800,1.0,0,0,5,7,1210,600.0,1980,140711,98038,47.4109,-121.958,1650,135036,173.48
99,140516,437500.0,3.0,2.5,2320,36847,2.0,0,2,3,9,2320,0.0,1992,140516,98045,47.4838,-121.714,2550,35065,188.58
100,140611,850830.0,3.0,2.5,2070,13241,1.5,0,0,5,9,1270,800.0,1910,140611,98102,47.6415,-122.315,2200,4500,411.03
101,141027,555000.0,3.0,2.0,1980,3478,1.5,0,0,4,7,1440,540.0,1929,141027,98117,47.6775,-122.37200000000001,1610,3478,280.3
102,141212,699950.0,3.0,2.25,2190,107593,2.0,0,0,4,8,2190,0.0,1983,141212,98077,47.7731,-122.08,2570,47777,319.61
103,141007,1090000.0,3.0,2.5,2920,8113,2.0,0,0,3,8,2920,0.0,1950,141007,98004,47.5814,-122.196,2370,8113,373.29
104,140924,290000.0,3.0,1.0,1210,33919,1.0,0,0,3,7,1210,0.0,1954,140924,98058,47.4375,-122.184,1640,14910,239.67
105,150402,375000.0,3.0,2.5,2340,10005,1.0,0,0,4,8,1460,880.0,1978,150402,98058,47.4431,-122.133,2250,8162,160.26
106,140523,460000.0,3.0,1.0,1670,4005,1.5,0,0,4,7,1170,500.0,1939,140523,98117,47.6878,-122.38,1240,4005,275.45
107,140723,188500.0,2.0,1.75,1240,2493,1.0,0,0,4,8,1240,0.0,1985,140723,98198,47.3813,-122.322,1270,4966,152.02
108,150305,680000.0,4.0,2.5,3140,28037,2.0,0,0,4,10,3140,0.0,1991,150305,98077,47.7304,-122.08200000000001,2990,35001,216.56
109,140827,470000.0,5.0,1.75,2030,12342,2.0,0,0,4,7,2030,0.0,1942,140827,98052,47.6417,-122.109,2500,9433,231.53
110,140725,597750.0,4.0,2.5,2310,9624,2.0,0,0,3,8,2310,0.0,1984,140725,98027,47.5386,-122.053,1940,9636,258.77
111,150304,570000.0,3.0,1.75,1260,3328,1.0,0,0,5,6,700,560.0,1905,150304,98103,47.6823,-122.34899999999999,1380,3536,452.38
112,140916,272500.0,3.0,1.75,1540,12600,1.0,0,0,4,7,1160,0.0,1980,140916,98038,47.3624,-122.031,1540,11656,176.95
113,141124,329950.0,3.0,1.75,2080,5969,1.0,0,2,3,7,1080,1000.0,1971,141124,98108,47.5474,-122.295,2090,5500,158.63
114,141028,480000.0,4.0,2.5,3230,16171,2.0,0,0,3,9,2520,710.0,2001,141028,98001,47.3183,-122.25299999999999,2640,8517,148.61
115,141121,740500.0,3.0,3.5,4380,6350,2.0,0,0,3,8,2780,0.0,1900,141121,98117,47.6981,-122.368,1830,6350,169.06
116,140626,518500.0,3.0,3.5,1590,1102,3.0,0,0,3,8,1590,0.0,2010,140626,98103,47.6824,-122.34700000000001,1620,3166,326.1
117,140623,205425.0,2.0,1.0,880,6780,1.0,0,0,4,6,880,0.0,1945,140623,98178,47.5009,-122.24799999999999,1190,6780,233.44
118,150108,171800.0,4.0,2.0,1570,9600,1.0,0,0,3,6,1570,0.0,1950,150108,98168,47.4965,-122.303,1880,9000,109.43
119,150511,535000.0,4.0,1.0,1610,2982,1.5,0,0,4,7,1610,0.0,1925,150511,98144,47.586999999999996,-122.294,1610,4040,332.3
120,150102,660000.0,3.0,2.5,2400,6474,1.0,0,2,3,8,1560,840.0,1964,150102,98177,47.7728,-122.38600000000001,2340,10856,275.0
121,141119,391500.0,3.0,2.0,1450,9132,1.0,0,0,3,7,1450,0.0,1987,141119,98034,47.7288,-122.226,1580,9104,270.0
122,150406,395000.0,2.0,1.0,770,6000,1.0,0,0,3,6,770,0.0,1953,150406,98117,47.6999,-122.36399999999999,1710,6000,512.99
123,141104,445000.0,4.0,1.75,2100,4400,1.5,0,0,5,7,1720,380.0,1924,141104,98118,47.5299,-122.266,1850,4400,211.9
124,140618,770000.0,3.0,2.25,2910,10204,2.0,0,0,3,9,2910,0.0,1990,140618,98052,47.6897,-122.098,2700,13992,264.6
125,150302,1450000.0,4.0,2.75,2750,17789,1.5,0,0,3,8,1980,770.0,1914,150302,98004,47.6141,-122.212,3060,11275,527.27
126,140717,445000.0,3.0,2.25,2100,8201,1.0,0,2,3,8,1620,480.0,1967,140717,98178,47.5091,-122.244,2660,8712,211.9
127,140717,260000.0,4.0,2.25,2160,8811,1.0,0,0,3,8,1360,800.0,1978,140717,98023,47.3129,-122.39,2090,8400,120.37
128,140613,822500.0,5.0,3.5,2320,4960,2.0,0,0,5,7,1720,600.0,1926,140613,98103,47.6763,-122.352,1700,4960,354.53
129,150406,430000.0,4.0,2.5,2070,4310,2.0,0,0,3,7,2070,0.0,2004,150406,98065,47.5319,-121.85,1970,3748,207.73
130,150105,212000.0,3.0,1.75,1060,7875,1.0,0,0,4,7,1060,0.0,1986,150105,98092,47.2761,-122.152,1420,7680,200.0
131,150428,660500.0,4.0,2.25,2010,9603,1.0,0,0,3,8,1440,570.0,1986,150428,98027,47.5343,-122.054,2060,9793,328.61
132,140612,784000.0,3.0,3.5,3950,111078,1.5,0,0,3,9,2460,1490.0,1989,140612,98052,47.696999999999996,-122.072,2480,88500,198.48
133,140512,453246.0,3.0,2.5,2010,2287,2.0,0,0,3,8,1390,620.0,2014,140512,98029,47.5517,-121.99799999999999,1690,1662,225.5
134,150126,675000.0,4.0,3.5,2140,2278,3.0,0,0,3,9,2140,0.0,2005,150126,98107,47.6734,-122.38,1540,2285,315.42
135,140813,199000.0,3.0,1.75,1320,17390,1.0,0,0,4,7,1320,0.0,1956,140813,98003,47.3257,-122.296,1550,19265,150.76
136,140805,220000.0,4.0,1.75,2020,7840,1.0,0,0,3,7,1010,1010.0,1968,140805,98003,47.3309,-122.29899999999999,1750,8140,108.91
137,140529,452000.0,4.0,2.25,2590,10002,1.0,0,0,4,8,1340,1250.0,1968,140529,98028,47.7689,-122.266,1550,10436,174.52
138,140707,382500.0,2.0,1.0,1190,4440,1.0,0,0,3,6,1190,0.0,1981,140707,98125,47.7135,-122.287,1060,5715,321.43
139,140507,519950.0,3.0,2.25,1170,1249,3.0,0,0,3,8,1170,0.0,2014,140507,98107,47.6722,-122.381,1350,1310,444.4
140,140627,665000.0,2.0,1.0,1110,3200,1.0,0,0,3,7,1110,0.0,1925,140627,98119,47.6338,-122.35799999999999,1170,3600,599.1
141,140708,527700.0,5.0,2.5,2820,9375,1.0,0,0,4,8,1550,1270.0,1968,140708,98006,47.5707,-122.12799999999999,2820,9375,187.13
142,150508,205000.0,3.0,1.0,1610,8579,1.0,0,0,4,7,1010,600.0,1962,150508,98058,47.4563,-122.171,1610,8579,127.33
143,150415,420000.0,3.0,1.0,1060,8097,1.0,0,0,4,7,940,120.0,1923,150415,98133,47.7144,-122.351,1560,7940,396.23
144,150227,500000.0,4.0,2.25,2030,8517,1.0,0,0,4,8,1380,650.0,1961,150227,98006,47.5495,-122.17399999999999,2230,8824,246.31
145,141203,921500.0,4.0,2.5,3670,315374,2.0,0,0,4,9,3670,0.0,1994,141203,98077,47.7421,-122.02600000000001,2840,87991,251.09
146,140625,890000.0,4.0,1.0,2550,4000,2.0,0,0,3,8,2370,180.0,1905,140625,98109,47.6354,-122.353,2200,4000,349.02
147,140806,430000.0,2.0,2.5,2420,60984,2.0,0,0,3,7,2420,0.0,2007,140806,98027,47.5262,-121.943,1940,193842,177.69
148,141030,258000.0,5.0,2.0,2260,12500,1.0,0,0,4,8,1130,1130.0,1960,141030,98032,47.3887,-122.286,1360,18000,114.16
149,141104,511000.0,3.0,1.0,1430,3455,1.0,0,0,3,7,980,450.0,1947,141104,98103,47.6873,-122.336,1450,4599,357.34
150,140820,532170.0,3.0,2.0,1360,3090,2.0,0,0,3,8,1360,0.0,1990,140820,98103,47.6838,-122.353,1500,3090,391.3
151,150409,560000.0,3.0,1.0,1110,5000,1.5,0,0,3,7,1110,0.0,1947,150409,98107,47.655,-122.359,1420,5000,504.5
152,150331,282950.0,3.0,1.0,1250,8200,1.0,0,0,4,7,1250,0.0,1954,150331,98003,47.3255,-122.304,1680,8633,226.36
153,150401,2250000.0,4.0,3.25,5180,19850,2.0,0,3,3,12,3540,1640.0,2006,150401,98006,47.562,-122.162,3160,9750,434.36
154,140516,350000.0,1.0,1.0,700,5100,1.0,0,0,3,7,700,0.0,1942,140516,98115,47.678999999999995,-122.3,1010,5100,500.0
155,140728,215000.0,3.0,1.0,1180,7669,1.0,0,0,4,7,1180,0.0,1967,140728,98058,47.4479,-122.176,1190,7669,182.2
156,141120,650000.0,5.0,3.5,3960,25245,2.0,0,0,3,9,2500,1460.0,1996,141120,98056,47.525,-122.17200000000001,2640,13675,164.14
157,140807,320000.0,4.0,2.75,2640,7500,1.0,0,0,3,8,1620,1020.0,1967,140807,98023,47.3135,-122.369,1980,7875,121.21
158,141113,247000.0,3.0,2.0,1270,7198,1.5,0,0,3,7,1270,0.0,1916,141113,98022,47.2086,-121.99600000000001,1160,7198,194.49
159,141003,320000.0,4.0,1.75,1760,11180,1.0,0,0,4,8,1760,0.0,1968,141003,98059,47.4715,-122.118,1730,11180,181.82
160,140507,255000.0,5.0,2.25,2060,8632,1.0,0,0,3,7,1030,1030.0,1962,140507,98146,47.4877,-122.335,1010,11680,123.79
161,150309,438000.0,3.0,1.75,1780,9660,1.0,0,0,3,7,1780,0.0,1962,150309,98034,47.7171,-122.193,1200,9660,246.07
162,150304,900000.0,3.0,2.5,3400,16603,2.0,0,0,3,10,3400,0.0,2000,150304,98075,47.6012,-122.023,3400,12601,264.71
163,140620,441000.0,3.0,2.75,1910,7280,1.0,0,0,3,7,1160,750.0,1979,140620,98034,47.7319,-122.22399999999999,1710,8152,230.89
164,140812,420000.0,3.0,2.0,2020,38332,1.0,0,0,4,7,1010,1010.0,1975,140812,98027,47.4582,-122.023,2110,36590,207.92
165,141208,370000.0,3.0,1.75,1580,7000,1.0,0,0,3,7,1180,400.0,1976,141208,98034,47.7209,-122.16799999999999,1640,7500,234.18
166,150219,269950.0,2.0,1.75,1340,7250,1.0,0,0,5,5,700,640.0,1949,150219,98198,47.408,-122.32700000000001,1830,9750,201.46
167,150324,807100.0,4.0,2.5,2680,4499,2.0,0,0,3,9,2680,0.0,1999,150324,98006,47.565,-122.125,2920,4500,301.16
168,140605,653000.0,3.0,2.5,2680,9750,1.0,0,0,4,8,1610,1070.0,1979,140605,98034,47.7028,-122.23100000000001,2480,8750,243.66
169,140611,371500.0,3.0,2.0,1370,8336,1.0,0,0,5,7,1370,0.0,1964,140611,98133,47.7458,-122.331,1770,7288,271.17
170,150316,284000.0,3.0,1.75,1560,21000,1.0,0,0,3,7,1560,0.0,1954,150316,98166,47.4776,-122.337,1070,7920,182.05
171,150102,272000.0,3.0,1.75,2160,7140,1.0,0,0,4,7,1670,490.0,1978,150102,98023,47.3026,-122.374,1930,7350,125.93
172,140502,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,7,1340,0.0,1955,140502,98133,47.7658,-122.339,1480,7940,233.58
173,150116,917500.0,4.0,2.5,3880,35003,2.0,0,0,3,10,2570,1310.0,1984,150116,98033,47.6477,-122.182,3740,35230,236.47
174,140929,673000.0,4.0,2.25,2590,8190,2.0,0,0,4,8,2590,0.0,1980,140929,98006,47.5619,-122.125,2260,8335,259.85
175,150210,425000.0,3.0,2.5,1120,1100,2.0,0,0,3,8,820,300.0,2008,150210,98122,47.6106,-122.31,1590,1795,379.46
176,140709,399950.0,5.0,2.75,1970,5400,1.0,0,0,3,7,1320,650.0,1986,140709,98144,47.5868,-122.30799999999999,1280,2150,203.02
177,140530,385000.0,3.0,1.0,1220,4800,1.0,0,0,3,6,1220,0.0,1901,140530,98122,47.6101,-122.307,1200,4800,315.57
178,141117,269950.0,3.0,1.5,1950,7560,1.0,0,2,4,7,1320,630.0,1975,141117,98022,47.1976,-121.999,1950,8941,138.44
179,150107,330000.0,2.0,1.0,1350,8220,1.0,0,0,3,7,1060,290.0,1949,150107,98177,47.7224,-122.35799999999999,1540,8280,244.44
180,140725,260000.0,3.0,2.5,1670,5797,2.0,0,0,3,7,1670,0.0,1988,140725,98030,47.3505,-122.179,1670,6183,155.69
181,150414,470000.0,4.0,3.0,2380,5125,1.5,0,0,4,7,1680,700.0,1925,150414,98126,47.5384,-122.376,1410,5375,197.48
182,140613,589000.0,4.0,3.0,2440,9600,2.0,0,0,5,7,2440,0.0,1961,140613,98034,47.7044,-122.2,2290,9600,241.39
183,140723,163500.0,2.0,1.5,1050,3419,2.0,0,0,3,7,1050,0.0,1996,140723,98038,47.3848,-122.039,1050,3417,155.71
184,140905,835000.0,4.0,2.75,3130,13412,2.0,0,0,3,9,2140,990.0,1993,140905,98052,47.6993,-122.102,2260,9984,266.77
185,141121,1100000.0,5.0,3.0,4090,12850,1.0,0,2,4,10,2090,2000.0,1986,141121,98033,47.6627,-122.18799999999999,2540,10270,268.95
186,150415,269000.0,4.0,1.75,1490,10000,1.0,0,0,4,8,1100,390.0,1969,150415,98023,47.3099,-122.37899999999999,2190,8910,180.54
187,140505,560000.0,3.0,2.5,1900,8744,2.0,0,0,3,8,1900,0.0,1987,140505,98074,47.62,-122.04299999999999,2030,8744,294.74
